gene,gene_symbol,log2fc,fdr,direction,rank
ENSG00000168079.17,SCARA5,-6.414993073804878,5.500876407600858e-89,down,1
ENSG00000141338.14,ABCA8,-6.2075441773102025,8.244730016618105e-90,down,2
ENSG00000196616.14,ADH1B,-7.004781476006076,1.385170905942515e-77,down,3
ENSG00000182271.13,TMIGD1,-9.161608718193794,9.660681321421681e-58,down,4
ENSG00000251026.2,NIHCOLE,4.1602308694763845,3.484075931818724e-123,up,5
ENSG00000230316.7,FEZF1-AS1,5.275301091495937,4.864187660436191e-95,up,6
ENSG00000100604.13,CHGA,-7.710143803462136,8.040086919888378e-62,down,7
ENSG00000079689.14,SCGN,-6.483997195229485,9.346404274896181e-72,down,8
ENSG00000174992.8,ZG16,-8.380504405847974,2.1735070660897346e-55,down,9
ENSG00000171714.12,ANO5,-4.910122203227474,1.0138169143492165e-93,down,10
ENSG00000214039.9,LINC02418,6.485586871976716,2.0501509311233133e-69,up,11
ENSG00000104435.14,STMN2,-5.051621054086159,6.228145664523183e-88,down,12
ENSG00000180875.5,GREM2,-5.516496782415918,6.670514909762032e-77,down,13
ENSG00000167755.15,KLK6,6.358654441117506,1.6628026969889387e-65,up,14
ENSG00000183034.13,OTOP2,-10.1283980665044,7.695074310737895e-41,down,15
ENSG00000231172.2,EVA1A-AS,3.599484600635492,1.2924435588204132e-111,up,16
ENSG00000065325.13,GLP2R,-4.9579132735451,3.616307477173895e-81,down,17
ENSG00000152785.8,BMP3,-7.206273050952322,1.3191507223133702e-52,down,18
ENSG00000162706.13,CADM3,-6.1005945900282414,1.01922533884582e-60,down,19
ENSG00000091138.13,SLC26A3,-7.213795549096897,2.364948823352513e-51,down,20
ENSG00000168748.14,CA7,-7.523562681709593,6.37568284812011e-49,down,21
ENSG00000128610.12,FEZF1,4.084530435393389,2.3483825010404994e-89,up,22
ENSG00000016490.16,CLCA1,-6.6877944707964065,7.638991565097187e-55,down,23
ENSG00000167434.10,CA4,-8.007421489962303,1.5512901650952998e-44,down,24
ENSG00000044012.4,GUCA2B,-8.776210111853416,1.9978019396649104e-40,down,25
ENSG00000159263.16,SIM2,6.541184562535815,1.32625033260101e-52,up,26
ENSG00000133742.14,CA1,-9.916483372030434,6.679204296641797e-35,down,27
ENSG00000185269.12,NOTUM,5.948657587921748,1.103448782702951e-57,up,28
ENSG00000080493.18,SLC4A4,-6.395947288407063,3.485925523961335e-53,down,29
ENSG00000131096.10,PYY,-8.22180606078264,2.761729967594023e-41,down,30
ENSG00000016602.9,CLCA4,-8.660887735678887,1.5998877181485413e-38,down,31
ENSG00000174015.10,CBY2,3.659146053118773,3.6301836493483684e-90,up,32
ENSG00000197273.4,GUCA2A,-7.268476045631756,2.6789543868235233e-45,down,33
ENSG00000261650.1,,3.2052322617436175,3.773476737431211e-101,up,34
ENSG00000169432.18,SCN9A,-4.694716131293689,1.6426532226910887e-68,down,35
ENSG00000248144.6,ADH1C,-6.035298796819298,2.616311241112977e-53,down,36
ENSG00000166292.12,TMEM100,-4.9865794146350915,1.0538081140898547e-63,down,37
ENSG00000175497.17,DPP10,-4.735569153738184,9.831708154956338e-66,down,38
ENSG00000106809.11,OGN,-6.050679965845523,2.541846739041963e-51,down,39
ENSG00000170419.11,VSTM2A,-6.3631549322880865,9.350570926312219e-49,down,40
ENSG00000232679.2,LINC02257,3.4294236762888324,1.2074488203657156e-89,up,41
ENSG00000030304.14,MUSK,-5.039757085207549,1.5132095120974117e-60,down,42
ENSG00000100448.4,CTSG,-5.10719736067694,1.1939698182390296e-59,down,43
ENSG00000104332.12,SFRP1,-6.242386564362628,2.8860880110675373e-48,down,44
ENSG00000170381.14,SEMA3E,-5.511910739901222,2.3032693910736308e-54,down,45
ENSG00000269404.7,SPIB,-6.1266709446996,2.5136774575574576e-48,down,46
ENSG00000123500.10,COL10A1,5.774098588744417,5.859076173036316e-51,up,47
ENSG00000169035.12,KLK7,4.461566537038236,1.6628026969889387e-65,up,48
ENSG00000164530.15,PI16,-6.439001503313693,4.603232636362654e-45,down,49
ENSG00000165072.10,MAMDC2,-6.019968838594303,1.650553186200705e-47,down,50
ENSG00000186462.9,NAP1L2,-4.614438788286532,2.000958264812274e-61,down,51
ENSG00000111846.19,GCNT2,-4.825142857526574,7.702358835894072e-58,down,52
ENSG00000135220.11,UGT2A3,-5.664968827443883,1.6481749863595675e-48,down,53
ENSG00000198121.13,LPAR1,-3.0236323582025344,1.1449176452003423e-89,down,54
ENSG00000123560.14,PLP1,-6.690015051352833,1.1759646113525272e-40,down,55
ENSG00000166869.3,CHP2,-5.881969945446937,1.308167920707452e-45,down,56
ENSG00000115263.15,GCG,-7.63081211828392,4.0791914138582114e-35,down,57
ENSG00000142959.5,BEST4,-6.911980518025474,1.1459801542544651e-38,down,58
ENSG00000226320.6,LINC01811,4.443747474444835,1.9109316101109072e-59,up,59
ENSG00000113805.8,CNTN3,-4.323208628621896,4.6915286956209696e-61,down,60
ENSG00000172987.13,HPSE2,-4.390729672786371,4.939628100266751e-60,down,61
ENSG00000147724.12,FAM135B,-5.281103715529131,1.0347460782306454e-49,down,62
ENSG00000104112.9,SCG3,-4.4134785175453555,9.971574293966581e-59,down,63
ENSG00000166206.15,GABRB3,-3.745785382598487,2.6962216568028147e-68,down,64
ENSG00000146469.13,VIP,-5.158328018533192,1.6726426761099621e-49,down,65
ENSG00000244355.7,LY6G6D,3.2495756382087344,1.1176763907162408e-77,up,66
ENSG00000129455.15,KLK8,3.214035271196171,4.3007816978476944e-78,up,67
ENSG00000108381.11,ASPA,-4.751327492580321,2.1466647440974493e-52,down,68
ENSG00000153993.13,SEMA3D,-4.00929133390653,2.0803994891318946e-61,down,69
ENSG00000164270.18,HTR4,-4.590605883629436,1.6276207721092458e-53,down,70
ENSG00000167080.9,B4GALNT2,-7.091103671988503,1.1700294547391527e-34,down,71
ENSG00000153446.16,C16orf89,-4.917443133896226,1.992013098031976e-49,down,72
ENSG00000060718.22,COL11A1,5.012438562325245,4.2445997384144436e-48,up,73
ENSG00000071203.9,MS4A12,-8.187146507108546,1.1701600676546828e-29,down,74
ENSG00000265519.1,,-2.888351424325637,1.3313596786186898e-82,down,75
ENSG00000175785.13,PRIMA1,-6.218168505725986,1.2322629786204392e-38,down,76
ENSG00000108231.14,LGI1,-5.4891071112472245,1.2007571338413392e-43,down,77
ENSG00000168546.11,GFRA2,-4.664379774011747,4.645752007425942e-51,down,78
ENSG00000276122.1,,3.1437888438526143,3.4786677239230654e-75,up,79
ENSG00000108244.17,KRT23,4.895007286612257,1.5593463901294766e-48,up,80
ENSG00000179915.24,NRXN1,-6.016188669417665,2.0868117019244673e-39,down,81
ENSG00000104059.4,ENTREP2,-4.09873073740588,1.8631608912532247e-57,down,82
ENSG00000164379.7,FOXQ1,5.403351448102299,1.4069926056529255e-43,up,83
ENSG00000198597.9,ZNF536,-4.169426295431835,7.655766357022751e-56,down,84
ENSG00000198488.10,B3GNT6,-4.9734266812218815,8.10194340735721e-47,down,85
ENSG00000169862.19,CTNND2,-4.416870670642953,1.4948133996179803e-52,down,86
ENSG00000103375.11,AQP8,-9.333095971519892,6.163110228952845e-25,down,87
ENSG00000162670.11,BRINP3,-6.351259019138052,2.9314318704004337e-36,down,88
ENSG00000064205.10,CCN5,-5.4505545949612575,5.019756019292307e-42,down,89
ENSG00000211890.4,IGHA2,-6.183316949103888,4.575247246324237e-37,down,90
ENSG00000156284.6,CLDN8,-8.08388023776665,1.835983246691252e-28,down,91
ENSG00000125851.10,PCSK2,-6.2982716563582875,2.746049154611348e-36,down,92
ENSG00000170373.8,CST1,6.447795888733042,3.55050138989419e-35,up,93
ENSG00000092009.10,CMA1,-5.036318780202061,9.937212593981809e-45,down,94
ENSG00000109182.12,CWH43,-6.308394125705708,1.3302881318557215e-35,down,95
ENSG00000249550.7,LINC01234,3.9543771373629415,4.67799769335773e-56,up,96
ENSG00000185432.12,TMT1A,-3.3299645687552992,2.6900103797880823e-66,down,97
ENSG00000235026.6,DPP10-AS1,-5.068316151186718,1.3473948148771546e-43,down,98
ENSG00000111404.7,RERGL,-5.959749555269913,3.7478963330222278e-37,down,99
ENSG00000147655.12,RSPO2,-5.257422617662609,6.730142848786184e-42,down,100
ENSG00000089199.10,CHGB,-4.916955482190871,1.0421392170631155e-44,down,101
ENSG00000034971.17,MYOC,-6.479256296505087,4.395662468469195e-34,down,102
ENSG00000137727.12,ARHGAP20,-3.6059161038820893,2.264583916497506e-60,down,103
ENSG00000196660.11,SLC30A10,-7.362704906068461,7.99399406381309e-30,down,104
ENSG00000168447.11,SCNN1B,-6.028071931900519,5.0620269047154896e-36,down,105
ENSG00000150471.16,ADGRL3,-3.5734317849166244,6.944970279773446e-60,down,106
ENSG00000163586.10,FABP1,-4.680934754112496,8.65682074746016e-46,down,107
ENSG00000163815.6,CLEC3B,-4.839159134487828,2.7359352177335047e-44,down,108
ENSG00000176490.5,DIRAS1,-3.291502842700774,2.2501111733235067e-64,down,109
ENSG00000198074.10,AKR1B10,-4.755940587837701,1.4275373463006185e-44,down,110
ENSG00000122756.15,CNTFR,-6.067290478923182,5.989227433183673e-35,down,111
