gene,gene_symbol,log2fc,fdr,direction,rank
ENSG00000156284.6,CLDN8,-8.08388023776665,1.8359832466912512e-28,down,91
ENSG00000125851.10,PCSK2,-6.2982716563582875,2.746049154611351e-36,down,92
ENSG00000170373.8,CST1,6.447795888733042,3.5505013898941533e-35,up,93
ENSG00000092009.10,CMA1,-5.036318780202061,9.937212593981718e-45,down,94
ENSG00000109182.12,CWH43,-6.308394125705708,1.330288131855726e-35,down,95
ENSG00000249550.7,LINC01234,3.9543771373629415,4.6779976933577005e-56,up,96
ENSG00000185432.12,TMT1A,-3.3299645687552992,2.690010379788056e-66,down,97
ENSG00000235026.6,DPP10-AS1,-5.068316151186718,1.3473948148771578e-43,down,98
ENSG00000111404.7,RERGL,-5.959749555269913,3.747896333022275e-37,down,99
ENSG00000147655.12,RSPO2,-5.257422617662609,6.730142848786075e-42,down,100
ENSG00000089199.10,CHGB,-4.916955482190871,1.04213921706312e-44,down,101
ENSG00000034971.17,MYOC,-6.479256296505087,4.39566246846921e-34,down,102
ENSG00000137727.12,ARHGAP20,-3.6059161038820893,2.2645839164975277e-60,down,103
ENSG00000196660.11,SLC30A10,-7.362704906068461,7.993994063813027e-30,down,104
ENSG00000168447.11,SCNN1B,-6.028071931900519,5.0620269047154555e-36,down,105
ENSG00000150471.16,ADGRL3,-3.5734317849166244,6.944970279773427e-60,down,106
ENSG00000163586.10,FABP1,-4.680934754112496,8.656820747460145e-46,down,107
ENSG00000163815.6,CLEC3B,-4.839159134487828,2.735935217733513e-44,down,108
ENSG00000176490.5,DIRAS1,-3.291502842700774,2.2501111733234993e-64,down,109
ENSG00000198074.10,AKR1B10,-4.755940587837701,1.4275373463006187e-44,down,110
ENSG00000122756.15,CNTFR,-6.067290478923182,5.989227433183632e-35,down,111
ENSG00000173237.4,C11orf86,-5.703756137086439,4.239018725382428e-37,down,112
ENSG00000143171.13,RXRG,-4.6143635774612655,1.543871306787338e-45,down,113
ENSG00000183690.13,EFHC2,-3.43239109456218,5.858820859721596e-61,down,114
ENSG00000186198.4,SLC51B,-5.293894323170613,9.584044615107583e-40,down,115
ENSG00000245694.10,LOC101927480,3.661845342310132,6.193322581907691e-57,up,116
ENSG00000228742.11,LINC02577,4.438179774405207,5.926631625355762e-47,up,117
ENSG00000073737.17,DHRS9,-5.157099251870047,1.7906193970266517e-40,down,118
ENSG00000226306.6,NPY6R,-5.338433138912469,4.4567068672537606e-39,down,119
ENSG00000196260.5,SFTA2,4.397582145396405,2.8666269822263906e-47,up,120
ENSG00000139800.8,ZIC5,3.576498538187568,7.058053257735805e-58,up,121
ENSG00000136546.16,SCN7A,-6.270268099651457,3.239771767130146e-33,down,122
ENSG00000101441.4,CST4,2.6915679186846413,3.9228422119548394e-76,up,123
ENSG00000240498.9,CDKN2B-AS1,-5.896078626622897,4.031834988632658e-35,down,124
ENSG00000286042.1,LCAL1,2.8163326038850243,1.0442596081039769e-72,up,125
ENSG00000135218.19,CD36,-3.756893720004232,1.269779328162483e-54,down,126
ENSG00000154165.5,GPR15,-5.448746089191208,6.981967630636224e-38,down,127
ENSG00000082397.17,EPB41L3,-3.8402903162961017,2.0385734886200833e-53,down,128
ENSG00000179914.5,ITLN1,-5.514622738683807,2.427007537277319e-37,down,129
ENSG00000124205.18,EDN3,-4.775864951877923,7.869000321766755e-43,down,130
ENSG00000250641.1,LY6G6F-LY6G6D,3.0601024287647536,2.0277294299338877e-66,up,131
ENSG00000233532.6,LINC00460,4.3470736516296595,5.72463809241143e-47,up,132
ENSG00000178773.15,CPNE7,4.54348372293051,6.094034522602887e-45,up,133
ENSG00000233670.7,PIRT,-5.252666166066632,8.989603289350414e-39,down,134
ENSG00000113594.10,LIFR,-4.2951139372182565,3.460502298658794e-47,down,135
ENSG00000176399.4,DMRTA1,-4.592992014882551,4.1205673212556466e-44,down,136
ENSG00000132465.12,JCHAIN,-5.678516794903734,8.810390646811598e-36,down,137
ENSG00000179277.9,MEIS3P1,-3.0248832290343293,1.9849795831690336e-66,down,138
ENSG00000101938.15,CHRDL1,-4.937835295128081,9.791038416005216e-41,down,139
ENSG00000135549.15,PKIB,-5.040894746921232,7.287771529691381e-40,down,140
ENSG00000167767.14,KRT80,6.165583173913481,1.0571189515500423e-32,up,141
ENSG00000127951.8,FGL2,-3.5899756368592435,1.4019111944320448e-55,down,142
ENSG00000111863.13,ADTRP,-4.69918044434295,1.2521346730837963e-42,down,143
ENSG00000170091.11,NSG2,-5.260288806083218,4.054733447792526e-38,down,144
ENSG00000104371.5,DKK4,3.849671435168711,8.472020831319287e-52,up,145
ENSG00000171408.14,PDE7B,-2.952118438977414,8.392050963739631e-67,down,146
ENSG00000260573.4,LOC124903770,4.00001461956793,2.751220241804541e-49,up,147
ENSG00000165495.16,PKNOX2,-3.6145785986427326,1.933362246282181e-54,down,148
ENSG00000157005.4,SST,-6.618870920188523,6.52620300190721e-30,down,149
ENSG00000141668.10,CBLN2,-3.8107773659848014,4.3732109684187593e-51,down,150
ENSG00000133878.9,DUSP26,-3.7778612737060593,1.676024622671352e-51,down,151
ENSG00000224099.2,,3.778201720964289,1.758884075678047e-51,up,152
ENSG00000176533.13,GNG7,-3.524664841190728,4.700726775273779e-55,down,153
ENSG00000138722.10,MMRN1,-4.638347521726422,8.215795261450799e-42,down,154
ENSG00000231246.2,LINC02884,-3.5806657599961547,6.144894198715866e-54,down,155
ENSG00000164303.11,ENPP6,-4.221413292376569,7.586569647141486e-46,down,156
ENSG00000242366.3,UGT1A8,-5.584412946635794,7.884767199380302e-35,down,157
ENSG00000148483.9,TMEM236,-4.997138847427492,1.6925701934341634e-38,down,158
ENSG00000242515.5,UGT1A10,-4.979856388588398,1.7952000541175147e-38,down,159
ENSG00000134121.10,CHL1,-3.6974182712746737,1.758884075678047e-51,down,160
ENSG00000205038.12,PKHD1L1,-4.235307937776398,1.2140060165252078e-44,down,161
ENSG00000039987.7,BEST2,-5.989384139779571,1.047145653193198e-31,down,162
ENSG00000169347.17,GP2,-4.300122839157807,7.596899997829847e-44,down,163
ENSG00000188175.10,HEPACAM2,-4.7620131637754906,1.8732914334498434e-39,down,164
ENSG00000169860.7,P2RY1,-3.4010469037735396,8.181321792130798e-55,down,165
ENSG00000163497.3,FEV,-5.268421068497624,2.9340106083172606e-35,down,166
ENSG00000226629.1,LINC00974,-5.178352900089981,8.19412773025508e-36,down,167
ENSG00000133800.9,LYVE1,-5.179877247422168,8.810390646811598e-36,down,168
ENSG00000163710.9,PCOLCE2,-4.897912238454665,1.6128234368932772e-37,down,169
ENSG00000276855.1,,-2.6647719995706147,2.7726113797172795e-68,down,170
ENSG00000236452.1,,3.5725737492446976,4.914563027391272e-51,up,171
ENSG00000119147.10,ECRG4,-5.2738082122618035,1.2410027201354835e-34,down,172
ENSG00000172572.7,PDE3A,-3.1142310263666033,7.280117863405307e-58,down,173
ENSG00000118432.12,CNR1,-4.977220525444119,2.1356048787186567e-36,down,174
ENSG00000114200.10,BCHE,-5.278382124087963,2.9649484818890417e-34,down,175
ENSG00000103888.17,CEMIP,4.443519623365091,1.5093716039094927e-40,up,176
ENSG00000088992.18,TESC,3.280801006884178,1.588514140154964e-54,up,177
ENSG00000267073.1,,2.4978624394407536,2.420021538109768e-71,up,178
ENSG00000175161.14,CADM2,-5.214480913236306,1.4969184454812736e-34,down,179
ENSG00000166391.15,MOGAT2,-4.3193395072034075,1.8578950616820024e-41,down,180
ENSG00000205683.11,DPF3,-3.347884339615134,4.0608540177044612e-53,down,181
ENSG00000172318.5,B3GALT1,-4.97634818629035,6.239178000862708e-36,down,182
ENSG00000121871.4,SLITRK3,-4.796472096066087,3.67651600658305e-37,down,183
ENSG00000171243.8,SOSTDC1,-3.0601218918208657,2.0497651408188793e-57,down,184
ENSG00000139910.20,NOVA1,-4.202516047759142,1.1056903971447538e-41,down,185
ENSG00000204936.10,CD177,-7.783828097478745,8.167667573229638e-23,down,186
ENSG00000156298.13,TSPAN7,-3.645791060409449,7.091511113831959e-48,down,187
ENSG00000187783.12,TMEM72,-5.714009513788709,8.370261835080213e-31,down,188
ENSG00000062038.14,CDH3,5.7785697240968155,2.230726097781736e-30,up,189
ENSG00000100146.18,SOX10,-5.0834566330885504,2.1206234394127684e-34,down,190
ENSG00000137673.9,MMP7,6.3383582359828,1.2497128441250849e-27,up,191
ENSG00000197085.11,NPSR1-AS1,3.1302133246536306,3.52356506740843e-55,up,192
ENSG00000078596.11,ITM2A,-3.0628404955747444,2.3842639826052543e-56,down,193
ENSG00000108018.15,SORCS1,-4.889165604281698,1.6910393516601048e-35,down,194
ENSG00000104267.10,CA2,-6.031428420703325,8.133339892705023e-29,down,195
ENSG00000170454.6,KRT75,3.3278400185882187,1.9936569003011678e-51,up,196
ENSG00000224269.1,,1.757645275558511,1.2920400417327626e-96,up,197
ENSG00000259823.6,LYPD8,-5.546264459304367,4.401639394063094e-31,down,198
ENSG00000134201.12,GSTM5,-3.7222978510518177,6.341081562011493e-46,down,199
ENSG00000243064.8,ABCC13,-4.421826896758947,9.807998290428152e-39,down,200
ENSG00000050030.16,NEXMIF,-4.529220475582383,8.357669119586615e-38,down,201
ENSG00000187699.10,AKAP19,-4.527729624167895,9.630590211514916e-38,down,202
ENSG00000116194.13,ANGPTL1,-5.353243448091104,5.668352663822229e-32,down,203
ENSG00000228705.2,LINC00659,4.2942155876636505,1.249897148361687e-39,up,204
ENSG00000164283.13,ESM1,4.997939776869005,4.7038273604505026e-34,up,205
ENSG00000071991.9,CDH19,-5.491205160742313,5.205556296777803e-31,down,206
ENSG00000073711.11,PPP2R3A,-2.7659858013781085,8.222322885956157e-61,down,207
ENSG00000005249.13,PRKAR2B,-2.9002455319727467,5.4597952986957235e-58,down,208
ENSG00000168309.18,FAM107A,-4.35014873111475,7.104530015287516e-39,down,209
ENSG00000263961.8,RHEX,-3.7582155451316828,1.0228500875642482e-44,down,210
ENSG00000186007.10,LEMD1,4.601177440375648,1.2316684191148295e-36,up,211
ENSG00000105609.17,LILRB5,-3.756098504986941,1.147159492468775e-44,down,212
ENSG00000206579.9,XKR4,-4.965953209606274,1.2402156755277931e-33,down,213
ENSG00000175832.13,ETV4,4.721217786581772,2.930564688390762e-35,up,214
ENSG00000168875.3,SOX14,3.3554469448051445,2.751220241804541e-49,up,215
ENSG00000007306.15,CEACAM7,-6.077561697446383,2.0656874450033267e-27,down,216
ENSG00000112936.19,C7,-5.256027852278357,1.4602947935138302e-31,down,217
ENSG00000156959.9,LHFPL4,-4.114652766008154,4.700116383865484e-40,down,218
ENSG00000018236.15,CNTN1,-4.3194475273216995,4.5498500767565345e-38,down,219
ENSG00000153253.19,SCN3A,-3.079051546188006,4.281083072481457e-53,down,220
ENSG00000213468.7,FIRRE,3.6540651188700384,8.309652334317528e-45,up,221
ENSG00000162460.7,TMEM82,-4.664876951187566,3.0240496964356256e-35,down,222
ENSG00000164120.14,HPGD,-3.969301109360666,2.74248280282937e-41,down,223
ENSG00000169252.6,ADRB2,-2.8984195111447164,4.0357342675508524e-56,down,224
ENSG00000018625.15,ATP1A2,-5.960217062952269,1.3137240280007827e-27,down,225
ENSG00000167912.6,TOX-DT,-2.4479401957605305,3.769574391542892e-66,down,226
ENSG00000249162.1,ADAM20P3,2.009484552455002,6.39533360196484e-80,up,227
ENSG00000279756.1,,-5.112392124565847,9.78002767889968e-32,down,228
ENSG00000170954.11,ZNF415,-2.630708090756241,5.858820859721596e-61,down,229
ENSG00000153823.19,PID1,-2.707043087720429,7.860804002718514e-59,down,230
ENSG00000163295.5,ALPI,-5.530951843544707,3.849088690609693e-29,down,231
ENSG00000108405.4,P2RX1,-3.2009653339262254,9.686534811434746e-50,down,232
ENSG00000238042.5,,2.2003801045708182,5.243555639755247e-72,up,233
ENSG00000125675.18,GRIA3,-3.070660326416075,9.346362488859402e-52,down,234
ENSG00000019102.12,VSIG2,-4.8007823091564426,2.8015444510598703e-33,down,235
ENSG00000224721.1,FLVCR2-AS1,-5.358343178607951,7.223808381848304e-30,down,236
ENSG00000145384.4,FABP2,-4.614434017559131,1.825140873747692e-34,down,237
ENSG00000160712.13,IL6R,-3.516753404539118,5.474026312520435e-45,down,238
ENSG00000185915.5,KLHL34,-3.9583921730663083,6.065108067363968e-40,down,239
ENSG00000249948.6,GBA3,-5.985216067193074,1.1749642140535787e-26,down,240
ENSG00000197766.8,CFD,-3.800668815711113,1.7389749385931193e-41,down,241
ENSG00000171060.11,C8orf74,2.1055166552676923,5.380500925016211e-74,up,242
ENSG00000163106.11,HPGDS,-3.909772293577245,3.846163477267049e-40,down,243
ENSG00000197587.11,DMBX1,3.410655683473822,7.265442835300425e-46,up,244
ENSG00000163145.13,C1QTNF7,-3.8213510301084295,8.185893144363189e-41,down,245
ENSG00000137077.8,CCL21,-3.6385295924734757,7.97562737947484e-43,down,246
ENSG00000277586.4,NEFL,-4.886076987942931,5.41406378410388e-32,down,247
ENSG00000167916.5,KRT24,-6.419269647049895,1.7299831411391058e-24,down,248
ENSG00000247381.3,PLUT,3.420724869737707,2.7143974952566036e-45,up,249
ENSG00000138615.6,CILP,-4.721160985854303,5.5828843119949316e-33,down,250
ENSG00000109132.7,PHOX2B,-5.103694991881068,1.6980410385450006e-30,down,251
ENSG00000173597.9,SULT1B1,-3.8922557672790656,9.245242387231674e-40,down,252
ENSG00000154175.18,ABI3BP,-4.061320939370377,4.0114987779630183e-38,down,253
ENSG00000119919.11,NKX2-3,-3.6225030164406986,1.2849981027129768e-42,down,254
ENSG00000099953.10,MMP11,3.0991876391752378,1.157584062463938e-49,up,255
ENSG00000137872.17,SEMA6D,-4.045399815293619,3.4450272781215646e-38,down,256
ENSG00000047457.14,CP,-3.9755253566155924,8.040330982886113e-39,down,257
ENSG00000152932.8,RAB3C,-3.418459269363655,6.186600925791373e-45,down,258
ENSG00000205364.4,MT1M,-5.786590850291232,7.757637914202713e-27,down,259
ENSG00000122641.11,INHBA,4.473064247581173,1.919611018330038e-34,up,260
ENSG00000211895.5,IGHA1,-4.729982155610628,1.6326933150655085e-32,down,261
ENSG00000154721.15,JAM2,-3.277029543817176,1.7024927400866952e-46,down,262
ENSG00000147588.7,PMP2,-4.65271597232759,6.645566198763318e-33,down,263
ENSG00000171431.4,KRT20,-3.965943370176726,2.0527491098774603e-38,down,264
ENSG00000171819.5,ANGPTL7,-5.181346797078956,1.4930513751085448e-29,down,265
ENSG00000275395.6,FCGBP,-4.657729579003018,9.792692991724651e-33,down,266
ENSG00000197565.16,COL4A6,-3.506118052068401,3.1394598597934157e-43,down,267
ENSG00000254645.2,LOC105376567,-5.94913620254172,1.083401369141313e-25,down,268
