gene,final_score,omics_score,ml_importance_score,literature_score,pathway_score
ENSG00000238197.6,0.16784561776747672,0.41961404441869177,0.0,0.0,0.0
ENSG00000273173.5,0.16780987325373148,0.41952468313432867,0.0,0.0,0.0
ENSG00000176953.12,0.16769775492915098,0.41924438732287744,0.0,0.0,0.0
ENSG00000132016.11,0.16763283526019276,0.41908208815048187,0.0,0.0,0.0
ENSG00000196267.12,0.16762999823583877,0.4190749955895969,0.0,0.0,0.0
ENSG00000272619.1,0.16758574012442387,0.41896435031105966,0.0,0.0,0.0
ENSG00000268066.5,0.16755059301771003,0.418876482544275,0.0,0.0,0.0
ENSG00000229358.3,0.16740908709463825,0.4185227177365956,0.0,0.0,0.0
ENSG00000238184.1,0.16736212661057437,0.41840531652643587,0.0,0.0,0.0
ENSG00000172232.10,0.1673085927481311,0.4182714818703277,0.0,0.0,0.0
ENSG00000216740.2,0.16726290978900657,0.4181572744725164,0.0,0.0,0.0
ENSG00000047315.17,0.16722294462946816,0.41805736157367035,0.0,0.0,0.0
ENSG00000270110.2,0.1671901415276841,0.41797535381921025,0.0,0.0,0.0
ENSG00000102393.14,0.16718532252293986,0.4179633063073496,0.0,0.0,0.0
ENSG00000115687.14,0.1671712828447912,0.417928207111978,0.0,0.0,0.0
ENSG00000214128.11,0.16716968987154116,0.4179242246788529,0.0,0.0,0.0
ENSG00000242439.1,0.16713044397881716,0.41782610994704283,0.0,0.0,0.0
ENSG00000254907.1,0.1670834126999936,0.41770853174998396,0.0,0.0,0.0
ENSG00000230581.2,0.16707582711277932,0.41768956778194827,0.0,0.0,0.0
ENSG00000126653.18,0.16706918937323711,0.41767297343309273,0.0,0.0,0.0
ENSG00000198077.10,0.16705552687771696,0.4176388171942924,0.0,0.0,0.0
ENSG00000207922.1,0.1670213296244767,0.4175533240611917,0.0,0.0,0.0
ENSG00000168484.12,0.16701983782018107,0.41754959455045265,0.0,0.0,0.0
ENSG00000243708.10,0.16700838803147677,0.4175209700786919,0.0,0.0,0.0
ENSG00000183562.3,0.16700026184133418,0.4175006546033354,0.0,0.0,0.0
ENSG00000176248.9,0.16696721161959763,0.41741802904899405,0.0,0.0,0.0
ENSG00000253490.5,0.16695230831509833,0.41738077078774577,0.0,0.0,0.0
ENSG00000234139.4,0.16692438367401427,0.41731095918503563,0.0,0.0,0.0
ENSG00000104714.14,0.16691382854807876,0.41728457137019687,0.0,0.0,0.0
ENSG00000224877.4,0.16690765496287557,0.4172691374071889,0.0,0.0,0.0
ENSG00000162396.6,0.16683365467190467,0.41708413667976163,0.0,0.0,0.0
ENSG00000244119.1,0.16681742985323095,0.41704357463307734,0.0,0.0,0.0
ENSG00000231351.2,0.1668165206170665,0.4170413015426662,0.0,0.0,0.0
ENSG00000285851.1,0.1667717483512171,0.41692937087804277,0.0,0.0,0.0
ENSG00000287133.1,0.16672193030223528,0.4168048257555882,0.0,0.0,0.0
ENSG00000286587.1,0.16665773700012154,0.41664434250030385,0.0,0.0,0.0
ENSG00000138190.17,0.16657690894542918,0.4164422723635729,0.0,0.0,0.0
ENSG00000241490.1,0.16656876560156908,0.4164219140039227,0.0,0.0,0.0
