gene,shap_importance,feature_rank
ENSG00000172005.11,0.0010196463756373206,124
ENSG00000162460.7,0.0010102625162309662,125
ENSG00000167434.10,0.0010097213837107727,126
ENSG00000257277.2,0.0010091766219189394,127
ENSG00000170381.14,0.0010020699327138395,128
ENSG00000127951.8,0.0010007601424965175,129
ENSG00000168309.18,0.000998069470389271,130
ENSG00000148483.9,0.0009917225223316055,131
ENSG00000122756.15,0.0009896918016421552,132
ENSG00000242515.5,0.00098115267068952,133
ENSG00000164120.14,0.0009811193267232272,134
ENSG00000139515.6,0.0009795742571738996,135
ENSG00000144339.12,0.000977759047511895,136
ENSG00000206579.9,0.0009761920209260225,137
ENSG00000124205.18,0.0009742063682804836,138
ENSG00000242366.3,0.0009690972889452216,139
ENSG00000082397.17,0.000963239075162697,140
ENSG00000105464.3,0.0009564111443073176,141
ENSG00000147588.7,0.0009538302857294259,142
ENSG00000113594.10,0.0009525154924445314,143
ENSG00000123500.10,0.0009486861587054417,144
ENSG00000133878.9,0.0009415619480133274,145
ENSG00000181418.8,0.0009246276780551745,146
ENSG00000187783.12,0.0009225278389049916,147
ENSG00000214888.3,0.000919335409286991,148
ENSG00000119147.10,0.0009174383060731456,149
ENSG00000198597.9,0.0009158503058527926,150
ENSG00000185269.12,0.0009040006663480352,151
ENSG00000089199.10,0.0009034631505298864,152
ENSG00000228705.2,0.000902832985013492,153
ENSG00000102683.8,0.0009005100356587757,154
ENSG00000064205.10,0.0008996280995712383,155
ENSG00000078596.11,0.0008972115859070464,156
ENSG00000174944.9,0.0008927339497602333,157
ENSG00000104888.10,0.0008828893228512308,158
ENSG00000187824.9,0.0008700307563122556,159
ENSG00000114200.10,0.0008682927303583016,160
ENSG00000120498.14,0.0008599322086428121,161
ENSG00000173237.4,0.0008548078127693036,162
ENSG00000176533.13,0.0008359511542814684,163
ENSG00000103375.11,0.0008316173879941448,164
ENSG00000184434.8,0.0008154960439555752,165
ENSG00000137868.19,0.0008140100406147447,166
ENSG00000172031.7,0.0008070446329651956,167
ENSG00000105894.12,0.0008038938606469811,168
ENSG00000099953.10,0.0007999721537785833,169
ENSG00000165495.16,0.0007890295766210154,170
ENSG00000114455.13,0.00077422282724541,171
ENSG00000088836.14,0.0007734180555945192,172
ENSG00000174992.8,0.0007674163911035376,173
ENSG00000015592.16,0.0007550048095876673,174
ENSG00000227243.3,0.0007540701872249922,175
ENSG00000196260.5,0.0007532685605003106,176
ENSG00000281406.2,0.000751407370622445,177
ENSG00000168060.16,0.0007487348937688008,178
ENSG00000100628.12,0.0007368822419392938,179
ENSG00000137673.9,0.0007367619756143783,180
ENSG00000130055.14,0.0007353266267344639,181
ENSG00000175161.14,0.0007302339545451914,182
ENSG00000165905.18,0.0007293937241678413,183
ENSG00000263961.8,0.0007269844958592594,184
ENSG00000109182.12,0.000719403058837803,185
ENSG00000240204.3,0.0007052567990147914,186
ENSG00000164270.18,0.000692501269738166,187
ENSG00000204936.10,0.0006876590118753284,188
ENSG00000279756.1,0.0006727783526926114,189
ENSG00000116748.21,0.0006726681629384324,190
ENSG00000115507.10,0.000669654369565765,191
ENSG00000172318.5,0.0006671922378455175,192
ENSG00000237686.7,0.0006664174958126217,193
ENSG00000168913.7,0.000654791702077526,194
ENSG00000175356.14,0.0006516053290259874,195
ENSG00000133800.9,0.0006461628210670021,196
ENSG00000018625.15,0.0006424041820789297,197
ENSG00000146469.13,0.0006402877768279403,198
ENSG00000146013.11,0.0006398115096143802,199
ENSG00000131015.5,0.0006327803328877159,200
ENSG00000119121.22,0.000630339841244305,201
ENSG00000139200.14,0.0006293659683598259,202
ENSG00000121871.4,0.0006259525175803533,203
ENSG00000106809.11,0.0006219540958232817,204
ENSG00000162374.18,0.0006215164543588414,205
ENSG00000067840.12,0.0006190477872056759,206
ENSG00000050030.16,0.0006150745391473484,207
ENSG00000205683.11,0.0006113010326856383,208
ENSG00000164932.13,0.0005948885479635022,209
ENSG00000146039.11,0.0005858350753168275,210
ENSG00000180730.5,0.0005837497255172594,211
ENSG00000104892.17,0.0005810285278522742,212
ENSG00000231172.2,0.0005780029854173483,213
ENSG00000254645.2,0.0005738861148845753,214
ENSG00000183690.13,0.0005722432949300026,215
ENSG00000166869.3,0.0005718577109114519,216
ENSG00000204869.8,0.000567656246487204,217
ENSG00000254166.3,0.0005637147130697871,218
ENSG00000165553.4,0.0005616069667973413,219
ENSG00000232679.2,0.0005576175904504742,220
ENSG00000233532.6,0.0005565190313334317,221
ENSG00000105609.17,0.0005564691123315994,222
ENSG00000143196.5,0.0005562302398734516,223
ENSG00000181577.16,0.0005475312528732507,224
ENSG00000169035.12,0.000543423196725959,225
ENSG00000145506.14,0.0005414882089935464,226
ENSG00000169247.14,0.000535371820097646,227
ENSG00000229970.3,0.0005328007148825677,228
ENSG00000144218.19,0.0005309918544535348,229
ENSG00000162670.11,0.0005288512929810367,230
ENSG00000132514.14,0.0005223475865356897,231
ENSG00000236120.7,0.0005125690947291519,232
ENSG00000271216.2,0.0005053197041176297,233
ENSG00000104833.12,0.0005034757652256834,234
ENSG00000108018.15,0.000500665782597456,235
ENSG00000231566.2,0.0004924904854899894,236
ENSG00000173894.11,0.0004892535012024765,237
ENSG00000226306.6,0.0004869259267900098,238
ENSG00000145040.4,0.0004807821816075217,239
ENSG00000196754.13,0.00047701425580992413,240
ENSG00000154175.18,0.00047464758237689885,241
ENSG00000254560.6,0.0004744149288258503,242
ENSG00000236081.1,0.000469634277050521,243
ENSG00000179314.14,0.00046570123606565325,244
ENSG00000128683.14,0.0004643512416148409,245
ENSG00000211445.12,0.0004641370730377679,246
ENSG00000253549.6,0.0004588480616972482,247
ENSG00000166111.10,0.000458516904994469,248
ENSG00000230316.7,0.0004579466709472397,249
ENSG00000154165.5,0.00045566343233184554,250
ENSG00000239605.11,0.00045300504628979424,251
ENSG00000265489.1,0.0004442025112971522,252
ENSG00000205038.12,0.000436680013748265,253
ENSG00000115363.14,0.0004351931669706405,254
ENSG00000101955.15,0.0004328779672487888,255
ENSG00000226320.6,0.00043116460270813193,256
ENSG00000108244.17,0.00043091238370234576,257
ENSG00000107562.16,0.00042895414694019206,258
ENSG00000176387.7,0.00042798657629850695,259
ENSG00000259485.2,0.0004268141756019011,260
ENSG00000197165.11,0.00042247795350594595,261
ENSG00000176490.5,0.0004185386775797614,262
ENSG00000144290.17,0.0004152589322337027,263
ENSG00000120149.9,0.0004061267051223432,264
ENSG00000105219.10,0.000404686077802036,265
ENSG00000114270.17,0.00040146852360376954,266
ENSG00000145244.12,0.0003986357393652765,267
ENSG00000144619.15,0.0003976984022684569,268
ENSG00000073734.10,0.000396659295262209,269
ENSG00000163687.14,0.00039385079796766043,270
ENSG00000125675.18,0.00039150937769299684,271
ENSG00000169252.6,0.0003912411097002478,272
ENSG00000118432.12,0.0003892766235927262,273
ENSG00000240505.9,0.00038793366781894454,274
ENSG00000137634.10,0.00038789248529568057,275
ENSG00000180660.8,0.00038744629670537376,276
ENSG00000287750.1,0.00037727479403525474,277
ENSG00000198074.10,0.0003763712701707552,278
ENSG00000107159.13,0.0003756417189933269,279
ENSG00000100448.4,0.00037213343839448794,280
